Signal Legend:

Key        Signal Name

0        = DAT_DAC
1        = SW
2        = Filter:inst|subFilter:u_subFilter_1_re|dout_1_re_1[0..7]
3        = Filter:inst|subFilter:u_subFilter_1_re|foutDly[9..16]

Data Table:

Signals-> 0    1    2   3   

sample

210       2512 00Fh 29  24  
211       2512 00Fh 24  18  
212       2336 00Fh 18  13  
213       2336 00Fh 13  7   
214       2160 00Fh 7   1   
215       2064 00Fh 1   251 
216       2064 00Fh -5  245 
217       1872 00Fh -11 239 
218       1872 00Fh -17 233 
219       1680 00Fh -23 228 
220       1600 00Fh -28 223 
221       1600 00Fh -33 218 
222       1440 00Fh -38 213 
223       1440 00Fh -43 209 
224       1296 00Fh -47 205 
225       1232 00Fh -51 202 
226       1232 00Fh -54 199 
227       1136 00Fh -57 196 
228       1136 00Fh -60 194 
229       1056 00Fh -62 193 
230       1040 00Fh -63 192 
231       1040 00Fh -64 127 
232       1008 00Fh -65 192 
233       1008 00Fh -64 192 
234       1024 00Fh -64 193 
235       1040 00Fh -63 195 
236       1040 00Fh -61 197 
237       1104 00Fh -59 200 
238       1104 00Fh -56 203 
239       1184 00Fh -53 207 
240       1264 00Fh -49 211 
241       1264 00Fh -45 215 
242       1392 00Fh -41 220 
243       1392 00Fh -36 225 
244       1536 00Fh -31 230 
245       1632 00Fh -26 236 
246       1632 00Fh -20 242 
247       1824 00Fh -14 248 
248       1824 00Fh -8  253 
249       1984 00Fh -3  3   
250       2096 00Fh 3   9   
251       2096 00Fh 9   15  
252       2288 00Fh 15  21  
253       2288 00Fh 21  26  
254       2480 00Fh 26  31  
255       2544 00Fh 31  36  
256       2544 00Fh 36  41  
257       2704 00Fh 41  45  
258       2704 00Fh 45  49  
259       2832 00Fh 49  53  
260       2896 00Fh 53  56  
261       2896 00Fh 56  59  
262       2992 00Fh 59  61  
263       2992 00Fh 61  62  
264       3056 00Fh 62  63  
265       3056 00Fh 63  128 
266       3056 00Fh 64  128 
267       3072 00Fh 64  63  
268       3072 00Fh 63  62  
269       3056 00Fh 62  60  
270       3008 00Fh 60  58  
271       3008 00Fh 58  56  
272       2944 00Fh 56  52  
273       2944 00Fh 52  49  
274       2816 00Fh 49  45  
275       2768 00Fh 45  40  
276       2768 00Fh 40  36  
277       2624 00Fh 36  31  
278       2624 00Fh 31  25  
279       2448 00Fh 25  20  
280       2368 00Fh 20  14  
281       2368 00Fh 14  8   
282       2176 00Fh 8   2   
283       2176 00Fh 2   253 
284       1984 00Fh -3  247 
285       1904 00Fh -9  241 
286       1904 00Fh -15 235 
287       1712 00Fh -21 230 
288       1712 00Fh -26 224 
289       1536 00Fh -32 219 
290       1456 00Fh -37 215 
291       1456 00Fh -41 210 
292       1312 00Fh -46 206 
293       1312 00Fh -50 203 
294       1184 00Fh -53 199 
295       1136 00Fh -57 197 
296       1136 00Fh -59 195 
297       1072 00Fh -61 193 
298       1072 00Fh -63 192 
299       1040 00Fh -64 127 
300       1008 00Fh -65 127 
301       1008 00Fh -65 192 
302       1024 00Fh -64 193 
303       1024 00Fh -63 194 
304       1072 00Fh -62 196 
305       1088 00Fh -60 199 
306       1088 00Fh -57 202 
307       1184 00Fh -54 206 
308       1184 00Fh -50 210 
309       1312 00Fh -46 214 
310       1376 00Fh -42 219 
311       1376 00Fh -37 224 
312       1536 00Fh -32 229 
313       1536 00Fh -27 234 
314       1712 00Fh -22 240 
315       1792 00Fh -16 246 
316       1792 00Fh -10 252 
317       1984 00Fh -4  2   
318       1984 00Fh 2   7   
319       2144 00Fh 7   13  
320       2256 00Fh 13  19  
321       2256 00Fh 19  25  
322       2448 00Fh 25  30  
323       2448 00Fh 30  35  
324       2592 00Fh 35  40  
325       2688 00Fh 40  44  
326       2688 00Fh 44  48  
327       2816 00Fh 48  52  
328       2816 00Fh 52  55  
329       2912 00Fh 55  58  
330       2976 00Fh 58  60  
331       2976 00Fh 60  62  
332       3040 00Fh 62  63  
333       3040 00Fh 63  63  
334       3056 00Fh 63  128 
335       3072 00Fh 64  63  
336       3072 00Fh 63  62  
337       3040 00Fh 62  61  
338       3040 00Fh 61  59  
339       2992 00Fh 59  56  
340       2944 00Fh 56  53  
341       2944 00Fh 53  50  
342       2848 00Fh 50  46  
343       2848 00Fh 46  42  
344       2720 00Fh 42  37  
345       2640 00Fh 37  32  
346       2640 00Fh 32  27  
347       2480 00Fh 27  22  
348       2480 00Fh 22  16  
349       2304 00Fh 16  10  
350       2208 00Fh 10  4   
351       2208 00Fh 4   254 
352       2016 00Fh -2  248 
353       2016 00Fh -8  242 
354       1824 00Fh -14 237 
355       1744 00Fh -19 231 
356       1744 00Fh -25 226 
357       1568 00Fh -30 221 
358       1568 00Fh -35 216 
359       1424 00Fh -40 211 
360       1328 00Fh -45 207 
361       1328 00Fh -49 203 
362       1200 00Fh -53 200 
363       1200 00Fh -56 197 
364       1088 00Fh -59 195 
365       1072 00Fh -61 193 
366       1072 00Fh -63 192 
367       1024 00Fh -64 192 
368       1024 00Fh -64 127 
369       992  00Fh -65 192 
370       1024 00Fh -64 193 
371       1024 00Fh -63 194 
372       1056 00Fh -62 196 
373       1056 00Fh -60 198 
374       1120 00Fh -58 201 
375       1168 00Fh -55 205 
376       1168 00Fh -51 209 
377       1296 00Fh -47 213 
378       1296 00Fh -43 217 
379       1424 00Fh -39 222 
380       1504 00Fh -34 228 
381       1504 00Fh -28 233 
382       1680 00Fh -23 239 
383       1680 00Fh -17 244 
384       1872 00Fh -12 250 
385       1952 00Fh -6  0   
386       1952 00Fh 0   6   
387       2144 00Fh 6   12  
388       2144 00Fh 12  18  
389       2336 00Fh 18  23  
390       2416 00Fh 23  29  
391       2416 00Fh 29  34  
392       2592 00Fh 34  39  
393       2592 00Fh 39  43  
394       2736 00Fh 43  47  
395       2800 00Fh 47  51  
396       2800 00Fh 51  54  
397       2912 00Fh 54  57  
398       2912 00Fh 57  60  
399       3024 00Fh 60  62  
400       3040 00Fh 62  63  
401       3040 00Fh 63  63  
402       3056 00Fh 63  128 
403       3056 00Fh 64  63  
404       3040 00Fh 63  63  
405       3056 00Fh 63  61  
406       3056 00Fh 61  60  
407       3008 00Fh 60  57  
408       3008 00Fh 57  54  
409       2928 00Fh 54  51  
410       2864 00Fh 51  47  
411       2864 00Fh 47  43  
412       2736 00Fh 43  38  
413       2736 00Fh 38  33  
414       2560 00Fh 33  28  
415       2496 00Fh 28  23  
416       2496 00Fh 23  17  
417       2320 00Fh 17  12  
418       2320 00Fh 12  6   
419       2144 00Fh 6   0   
420       2048 00Fh 0   250 
421       2048 00Fh -6  244 
422       1856 00Fh -12 238 
423       1856 00Fh -18 233 
424       1664 00Fh -23 227 
425       1584 00Fh -29 222 
426       1584 00Fh -34 217 
427       1424 00Fh -39 212 
428       1424 00Fh -44 208 
429       1280 00Fh -48 204 
430       1216 00Fh -52 201 
431       1216 00Fh -55 198 
432       1120 00Fh -58 196 
433       1120 00Fh -60 194 
434       1056 00Fh -62 192 
435       1024 00Fh -64 192 
436       1024 00Fh -64 127 
437       1008 00Fh -65 192 
438       1008 00Fh -64 192 
439       1024 00Fh -64 193 
440       1040 00Fh -63 195 
441       1040 00Fh -61 197 
442       1104 00Fh -59 200 
443       1104 00Fh -56 204 
444       1216 00Fh -52 207 
445       1264 00Fh -49 212 
446       1264 00Fh -44 216 
447       1408 00Fh -40 221 
448       1408 00Fh -35 226 
449       1584 00Fh -30 231 
450       1648 00Fh -25 237 
451       1648 00Fh -19 243 
452       1840 00Fh -13 249 
453       1840 00Fh -7  254 
454       2032 00Fh -2  4   
455       2112 00Fh 4   10  
456       2112 00Fh 10  16  
457       2304 00Fh 16  22  
458       2304 00Fh 22  27  
459       2464 00Fh 27  32  
460       2560 00Fh 32  37  
461       2560 00Fh 37  42  
462       2720 00Fh 42  46  
463       2720 00Fh 46  50  
464       2848 00Fh 50  54  
465       2912 00Fh 54  57  
466       2912 00Fh 57  59  
467       2992 00Fh 59  61  
468       2992 00Fh 61  62  
469       3056 00Fh 62  63  
470       3056 00Fh 63  128 
471       3056 00Fh 64  63  
472       3056 00Fh 63  63  
473       3056 00Fh 63  62  
474       3056 00Fh 62  60  
475       3008 00Fh 60  58  
476       3008 00Fh 58  55  
477       2928 00Fh 55  52  
478       2928 00Fh 52  48  
479       2816 00Fh 48  44  
480       2752 00Fh 44  40  
481       2752 00Fh 40  35  
482       2608 00Fh 35  30  
483       2608 00Fh 30  24  
484       2432 00Fh 24  19  
485       2352 00Fh 19  13  
486       2352 00Fh 13  7   
487       2160 00Fh 7   1   
488       2160 00Fh 1   251 
489       1968 00Fh -5  246 
490       1888 00Fh -10 240 
491       1888 00Fh -16 234 
492       1696 00Fh -22 229 
493       1696 00Fh -27 223 
494       1520 00Fh -33 218 
495       1440 00Fh -38 214 
496       1440 00Fh -42 209 
497       1296 00Fh -47 205 
498       1296 00Fh -51 202 
499       1200 00Fh -54 199 
500       1136 00Fh -57 196 
501       1136 00Fh -60 194 
502       1056 00Fh -62 193 
503       1056 00Fh -63 192 
504       1040 00Fh -64 127 
505       1008 00Fh -65 127 
506       1008 00Fh -65 192 
507       1024 00Fh -64 193 
508       1024 00Fh -63 195 
509       1072 00Fh -61 197 
510       1104 00Fh -59 200 
511       1104 00Fh -56 203 
512       1200 00Fh -53 206 
513       1200 00Fh -50 211 
514       1312 00Fh -45 215 
515       1392 00Fh -41 220 
516       1392 00Fh -36 225 
517       1552 00Fh -31 230 
518       1552 00Fh -26 236 
519       1728 00Fh -20 241 
520       1808 00Fh -15 247 
521       1808 00Fh -9  253 
522       2000 00Fh -3  3   
523       2000 00Fh 3   9   
524       2192 00Fh 9   15  
525       2288 00Fh 15  20  
526       2288 00Fh 20  26  
527       2464 00Fh 26  31  
528       2464 00Fh 31  36  
529       2640 00Fh 36  41  
530       2704 00Fh 41  45  
531       2704 00Fh 45  49  
532       2832 00Fh 49  53  
533       2832 00Fh 53  56  
534       2960 00Fh 56  58  
535       2976 00Fh 58  61  
536       2976 00Fh 61  62  
537       3040 00Fh 62  63  
538       3040 00Fh 63  128 
539       3088 00Fh 64  128 
540       3072 00Fh 64  63  
541       3072 00Fh 63  62  
542       3040 00Fh 62  61  
543       3040 00Fh 61  58  
544       2992 00Fh 58  56  
545       2944 00Fh 56  53  
546       2944 00Fh 53  49  
547       2832 00Fh 49  45  
548       2832 00Fh 45  41  
549       2704 00Fh 41  36  
550       2624 00Fh 36  31  
551       2624 00Fh 31  26  
552       2464 00Fh 26  20  
553       2464 00Fh 20  15  
554       2272 00Fh 15  9   
555       2192 00Fh 9   3   
556       2192 00Fh 3   253 
557       2000 00Fh -3  247 
558       2000 00Fh -9  241 
559       1808 00Fh -15 236 
560       1728 00Fh -20 230 
561       1728 00Fh -26 225 
562       1552 00Fh -31 220 
563       1552 00Fh -36 215 
564       1376 00Fh -41 211 
565       1328 00Fh -45 206 
566       1328 00Fh -50 203 
567       1200 00Fh -53 200 
568       1200 00Fh -56 197 
569       1088 00Fh -59 195 
570       1072 00Fh -61 193 
571       1072 00Fh -63 192 
572       1024 00Fh -64 127 
573       1024 00Fh -65 127 
574       1008 00Fh -65 192 
575       1024 00Fh -64 193 
576       1024 00Fh -63 194 
577       1056 00Fh -62 196 
578       1056 00Fh -60 199 
579       1120 00Fh -57 202 
580       1184 00Fh -54 205 
581       1184 00Fh -51 209 
582       1296 00Fh -47 214 
583       1296 00Fh -42 218 
584       1440 00Fh -38 223 
585       1520 00Fh -33 229 
586       1520 00Fh -27 234 
587       1696 00Fh -22 240 
588       1696 00Fh -16 246 
589       1888 00Fh -10 251 
590       1968 00Fh -5  1   
591       1968 00Fh 1   7   
592       2160 00Fh 7   13  
593       2160 00Fh 13  19  
594       2352 00Fh 19  24  
595       2432 00Fh 24  30  
596       2432 00Fh 30  35  
597       2608 00Fh 35  40  
598       2608 00Fh 40  44  
599       2752 00Fh 44  48  
600       2816 00Fh 48  52  
601       2816 00Fh 52  55  
602       2928 00Fh 55  58  
603       2928 00Fh 58  60  
604       3008 00Fh 60  62  
605       3040 00Fh 62  63  
606       3040 00Fh 63  63  
607       3056 00Fh 63  128 
608       3056 00Fh 64  63  
609       3040 00Fh 63  62  
610       3040 00Fh 62  61  
611       3040 00Fh 61  59  
612       2992 00Fh 59  57  
613       2992 00Fh 57  54  
614       2928 00Fh 54  50  
615       2848 00Fh 50  46  
616       2848 00Fh 46  42  
617       2720 00Fh 42  37  
618       2720 00Fh 37  32  
619       2576 00Fh 32  27  
620       2480 00Fh 27  22  
621       2480 00Fh 22  16  
622       2304 00Fh 16  10  
623       2304 00Fh 10  4   
624       2112 00Fh 4   254 
625       2016 00Fh -2  249 
626       2016 00Fh -7  243 
627       1840 00Fh -13 237 
628       1840 00Fh -19 231 
629       1648 00Fh -25 226 
630       1568 00Fh -30 221 
631       1568 00Fh -35 216 
632       1408 00Fh -40 212 
633       1408 00Fh -44 207 
634       1248 00Fh -49 204 
635       1216 00Fh -52 200 
636       1216 00Fh -56 197 
637       1104 00Fh -59 195 
638       1104 00Fh -61 193 
639       1040 00Fh -63 192 
640       1024 00Fh -64 192 
641       1024 00Fh -64 127 
642       1008 00Fh -65 192 
643       1008 00Fh -64 192 
644       1024 00Fh -64 194 
645       1056 00Fh -62 196 
646       1056 00Fh -60 198 
647       1120 00Fh -58 201 
648       1120 00Fh -55 204 
649       1232 00Fh -52 208 
650       1280 00Fh -48 212 
651       1280 00Fh -44 217 
652       1424 00Fh -39 222 
653       1424 00Fh -34 227 
654       1568 00Fh -29 233 
655       1680 00Fh -23 238 
656       1680 00Fh -18 244 
657       1856 00Fh -12 250 
658       1856 00Fh -6  0   
659       2048 00Fh 0   6   
660       2144 00Fh 6   12  
661       2144 00Fh 12  17  
662       2320 00Fh 17  23  
663       2320 00Fh 23  28  
664       2512 00Fh 28  33  
665       2576 00Fh 33  38  
666       2576 00Fh 38  43  
667       2736 00Fh 43  47  
668       2736 00Fh 47  51  
669       2864 00Fh 51  54  
670       2912 00Fh 54  57  
671       2912 00Fh 57  60  
672       3008 00Fh 60  61  
673       3008 00Fh 61  63  
674       3056 00Fh 63  63  
675       3056 00Fh 63  128 
676       3056 00Fh 64  63  
677       3056 00Fh 63  63  
678       3056 00Fh 63  62  
679       3056 00Fh 62  60  
680       3008 00Fh 60  57  
681       3008 00Fh 57  54  
682       2912 00Fh 54  51  
683       2912 00Fh 51  47  
684       2800 00Fh 47  43  
685       2736 00Fh 43  39  
686       2736 00Fh 39  34  
687       2592 00Fh 34  29  
688       2592 00Fh 29  23  
689       2416 00Fh 23  18  
690       2336 00Fh 18  12  
691       2336 00Fh 12  6   
692       2144 00Fh 6   0   
693       2144 00Fh 0   250 
694       1952 00Fh -6  244 
695       1856 00Fh -12 239 
696       1856 00Fh -17 233 
697       1680 00Fh -23 228 
698       1680 00Fh -28 222 
699       1504 00Fh -34 217 
700       1424 00Fh -39 213 
701       1424 00Fh -43 209 
702       1296 00Fh -47 205 
703       1296 00Fh -51 201 
704       1168 00Fh -55 198 
705       1120 00Fh -58 196 
706       1120 00Fh -60 194 
707       1056 00Fh -62 193 
708       1056 00Fh -63 192 
709       1040 00Fh -64 127 
710       1008 00Fh -65 192 
711       1008 00Fh -64 192 
712       1024 00Fh -64 193 
713       1024 00Fh -63 195 
714       1072 00Fh -61 197 
715       1104 00Fh -59 200 
716       1104 00Fh -56 203 
717       1200 00Fh -53 207 
718       1200 00Fh -49 211 
719       1328 00Fh -45 216 
720       1408 00Fh -40 221 
721       1408 00Fh -35 226 
722       1568 00Fh -30 231 
723       1568 00Fh -25 237 
724       1744 00Fh -19 242 
725       1824 00Fh -14 248 
726       1824 00Fh -8  254 
727       2016 00Fh -2  4   
728       2016 00Fh 4   10  
729       2208 00Fh 10  16  
730       2304 00Fh 16  22  
731       2304 00Fh 22  27  
732       2480 00Fh 27  32  
733       2480 00Fh 32  37  
734       2624 00Fh 37  42  
735       2720 00Fh 42  46  
736       2720 00Fh 46  50  
737       2848 00Fh 50  53  
738       2848 00Fh 53  56  
739       2960 00Fh 56  59  
740       2992 00Fh 59  61  
741       2992 00Fh 61  62  
742       3040 00Fh 62  63  
743       3040 00Fh 63  128 
744       3088 00Fh 64  63  
745       3056 00Fh 63  63  
746       3056 00Fh 63  62  
747       3040 00Fh 62  60  
748       3040 00Fh 60  58  
749       2976 00Fh 58  55  
750       2928 00Fh 55  52  
751       2928 00Fh 52  48  
752       2816 00Fh 48  44  
753       2816 00Fh 44  40  
754       2688 00Fh 40  35  
755       2608 00Fh 35  30  
756       2608 00Fh 30  25  
757       2448 00Fh 25  19  
758       2448 00Fh 19  13  
759       2256 00Fh 13  7   
760       2160 00Fh 7   2   
761       2160 00Fh 2   252 
762       1984 00Fh -4  246 
763       1984 00Fh -10 240 
764       1792 00Fh -16 234 
765       1696 00Fh -22 229 
766       1696 00Fh -27 224 
767       1536 00Fh -32 219 
768       1536 00Fh -37 214 
769       1392 00Fh -42 210 
